0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
-0.00344954,-0.00347849,-0.00351576,-0.00356137,-0.00361432,-0.00367262,-0.00373362,-0.00379458,-0.00385299,-0.00390682,-0.00395448,-0.00399473,-0.00402643,-0.00404809,-0.0040564,-0.00404189,-0.00398738,-0.00392182,-0.00384997,-0.00375336,-0.00367871,-0.00355936,-0.00362138,-0.00352732,-0.0035917,-0.00350716,-0.00357273,-0.00350068,-0.00356323,-0.00351393,-0.003559,-0.00354974,-0.00352726,-0.00352291,-0.00355319,-0.0035588,-0.00356014,-0.00357936,-0.00359764,-0.00360681,-0.00362092,-0.00360019,-0.00362798,-0.00360568,-0.00363872,-0.00361331,-0.00364897,-0.00362035,-0.00365833,-0.00362619,-0.0036669,-0.00363111,-0.00367494,-0.00363552,-0.0036828,-0.00363986,-0.00369078,-0.00364447,-0.0036991,-0.00364957,-0.00370788,-0.00365525,-0.00371714,-0.00366148,-0.00372683,-0.0036682,-0.00373685,-0.00367529,-0.00374711,-0.00368265,-0.00375752,-0.00369018,-0.00376798,-0.0036978,-0.00377846,-0.00370547,-0.0037889,-0.00371314,-0.00379927,-0.0037208,-0.00380957,-0.00372843,-0.00381978,-0.00373602,-0.00382991,-0.00374357,-0.00383994,-0.00375108,-0.00384988,-0.00375855,-0.00385973,-0.00376598,-0.00386949,-0.00377337,-0.00387917,-0.00378072,-0.00388877,-0.00378803,-0.00389828,-0.00379529,-0.0039077
0.0719739,0.0720097,0.0720404,0.0720627,0.072074,0.0720723,0.072057,0.0720287,0.0719891,0.0719403,0.0718851,0.0718267,0.0717697,0.0717217,0.0716984,0.0717395,0.0719112,0.0721067,0.0723217,0.0726278,0.0728798,0.0733489,0.0731228,0.0735448,0.0732989,0.0737009,0.0734422,0.0738075,0.0735551,0.0738381,0.073654,0.0737663,0.0738693,0.0739076,0.0737347,0.0737342,0.0736595,0.0735316,0.0733675,0.0733636,0.0732362,0.0734768,0.0732541,0.0735345,0.0732729,0.0735833,0.073303,0.0736414,0.0733475,0.0737149,0.0734069,0.0738014,0.0734781,0.0738957,0.0735562,0.0739919,0.0736361,0.0740856,0.0737138,0.074174,0.0737869,0.0742559,0.0738544,0.0743312,0.0739162,0.0744006,0.0739731,0.0744652,0.074026,0.074526,0.0740758,0.0745839,0.0741234,0.0746397,0.0741695,0.074694,0.0742144,0.0747471,0.0742587,0.0747995,0.0743025,0.0748512,0.0743461,0.0749026,0.0743895,0.0749536,0.0744328,0.0750044,0.0744762,0.0750549,0.0745196,0.0751054,0.0745631,0.0751558,0.0746067,0.0752062,0.0746506,0.0752565,0.0746946,0.075307,0.0747388
-0.098704,-0.098849,-0.0990036,-0.0991675,-0.0993401,-0.0995202,-0.0997066,-0.0998981,-0.100093,-0.100289,-0.100484,-0.100672,-0.100847,-0.100994,-0.101083,-0.101042,-0.100765,-0.100463,-0.100157,-0.0997702,-0.0994651,-0.0990061,-0.0991634,-0.0987982,-0.0989616,-0.0986362,-0.0988022,-0.0985288,-0.0986854,-0.0985055,-0.098613,-0.0985971,-0.0985305,-0.0985349,-0.0986805,-0.0987485,-0.0988647,-0.0990149,-0.0992045,-0.0992514,-0.0994122,-0.099212,-0.0994668,-0.0992448,-0.0995387,-0.099302,-0.0996088,-0.0993555,-0.0996662,-0.0993916,-0.0997051,-0.0994091,-0.0997263,-0.0994121,-0.0997344,-0.0994063,-0.0997347,-0.0993969,-0.0997318,-0.0993873,-0.099729,-0.0993795,-0.099728,-0.0993743,-0.0997294,-0.0993716,-0.0997329,-0.099371,-0.0997381,-0.0993718,-0.0997445,-0.0993735,-0.0997515,-0.0993758,-0.0997587,-0.0993783,-0.0997658,-0.0993808,-0.0997727,-0.0993832,-0.0997793,-0.0993854,-0.0997855,-0.0993874,-0.0997913,-0.0993892,-0.0997968,-0.0993909,-0.099802,-0.0993924,-0.0998069,-0.0993938,-0.0998115,-0.0993951,-0.0998159,-0.0993963,-0.0998202,-0.0993975,-0.0998243,-0.0993986,-0.0998282
-0.217556,-0.217521,-0.217486,-0.217453,-0.217424,-0.217402,-0.21739,-0.21739,-0.217403,-0.217428,-0.217465,-0.21751,-0.217562,-0.217611,-0.217645,-0.217627,-0.2175,-0.217356,-0.217204,-0.217003,-0.216847,-0.216598,-0.216688,-0.216484,-0.216578,-0.216396,-0.216492,-0.216336,-0.21643,-0.216317,-0.216392,-0.216357,-0.216351,-0.216347,-0.216438,-0.216462,-0.216556,-0.216641,-0.21675,-0.21679,-0.216886,-0.216811,-0.216941,-0.21685,-0.21699,-0.216887,-0.217028,-0.216915,-0.217054,-0.21693,-0.217069,-0.216934,-0.217075,-0.216931,-0.217074,-0.216923,-0.217068,-0.216913,-0.217061,-0.216903,-0.217055,-0.216893,-0.217048,-0.216885,-0.217044,-0.216878,-0.21704,-0.216873,-0.217036,-0.216867,-0.217034,-0.216863,-0.217031,-0.216858,-0.217029,-0.216854,-0.217026,-0.216849,-0.217023,-0.216845,-0.21702,-0.21684,-0.217017,-0.216835,-0.217013,-0.216829,-0.217009,-0.216824,-0.217004,-0.216818,-0.217,-0.216812,-0.216995,-0.216806,-0.216989,-0.216799,-0.216984,-0.216793,-0.216978,-0.216786,-0.216972
-0.0261473,-0.0261267,-0.0261103,-0.0260982,-0.0260902,-0.026085,-0.0260809,-0.0260759,-0.0260683,-0.0260569,-0.0260409,-0.0260207,-0.0259972,-0.0259736,-0.0259568,-0.0259638,-0.0260194,-0.026075,-0.0261275,-0.026193,-0.0262403,-0.0263204,-0.0262956,-0.0263611,-0.0263375,-0.0263936,-0.0263728,-0.0264173,-0.0264025,-0.0264302,-0.026428,-0.0264339,-0.0264577,-0.0264662,-0.0264855,-0.0264903,-0.0265101,-0.0265178,-0.0265313,-0.0265257,-0.0265377,-0.0265137,-0.0265481,-0.0265216,-0.0265696,-0.0265391,-0.0265947,-0.0265593,-0.0266196,-0.0265786,-0.0266426,-0.026596,-0.0266635,-0.0266118,-0.0266827,-0.0266267,-0.026701,-0.0266414,-0.026719,-0.0266565,-0.0267374,-0.0266722,-0.0267563,-0.0266887,-0.0267759,-0.0267059,-0.0267962,-0.0267238,-0.026817,-0.0267421,-0.0268381,-0.0267608,-0.0268596,-0.0267798,-0.0268813,-0.026799,-0.0269031,-0.0268184,-0.0269249,-0.0268379,-0.0269468,-0.0268574,-0.0269687,-0.026877,-0.0269905,-0.0268967,-0.0270124,-0.0269164,-0.0270342,-0.0269361,-0.027056,-0.0269559,-0.0270778,-0.0269757,-0.0270996,-0.0269955,-0.0271213,-0.0270153,-0.027143,-0.0270352,-0.0271646
0.0343221,0.0351366,0.0360577,0.0370832,0.0381999,0.0393854,0.0406118,0.0418505,0.0430742,0.0442574,0.0453735,0.0463908,0.0472631,0.0479078,0.0481473,0.0475423,0.0455021,0.0434314,0.0414579,0.0390589,0.0372745,0.0345033,0.0356854,0.0334739,0.0347026,0.0327349,0.0339873,0.0323312,0.0335309,0.0324187,0.0333218,0.0331678,0.0329953,0.0331374,0.0341683,0.0346116,0.0354241,0.0364629,0.0375256,0.038092,0.0389611,0.0383052,0.0396207,0.0388622,0.040325,0.0394991,0.0409839,0.0400927,0.0415628,0.0405953,0.0420499,0.0410104,0.0424566,0.0413608,0.042806,0.0416727,0.0431225,0.0419684,0.0434259,0.0422628,0.0437297,0.0425642,0.0440409,0.0428757,0.0443619,0.043197,0.044692,0.0435263,0.0450289,0.043861,0.0453704,0.0441989,0.045714,0.0445381,0.0460582,0.0448772,0.0464016,0.0452154,0.0467433,0.045552,0.0470831,0.0458866,0.0474205,0.0462192,0.0477557,0.0465498,0.0480885,0.0468783,0.0484191,0.0472049,0.0487475,0.0475297,0.049074,0.0478527,0.0493986,0.048174,0.0497214,0.0484937,0.0500425,0.0488119,0.050362
0.0243227,0.0245671,0.0248565,0.0251931,0.0255752,0.0259976,0.0264521,0.0269291,0.0274181,0.0279083,0.0283872,0.0288389,0.0292394,0.0295463,0.0296694,0.0293869,0.0283894,0.0273544,0.0263321,0.0250325,0.0240098,0.0224121,0.0230398,0.0217331,0.0223881,0.0211943,0.0218579,0.0208141,0.0214283,0.0206632,0.0210401,0.0207997,0.0203186,0.0202344,0.0205387,0.0205975,0.020628,0.0209966,0.0213548,0.021385,0.0216662,0.0209634,0.0215476,0.0207452,0.0214539,0.0205916,0.0213514,0.0204384,0.0212251,0.0202599,0.0210682,0.0200582,0.0208868,0.0198451,0.0206932,0.0196334,0.0204999,0.0194328,0.0203162,0.0192487,0.0201473,0.0190826,0.0199947,0.0189333,0.0198574,0.0187984,0.0197332,0.0186752,0.0196195,0.0185611,0.019514,0.018454,0.0194147,0.0183522,0.01932,0.0182545,0.0192288,0.0181601,0.0191403,0.0180683,0.019054,0.0179787,0.0189696,0.017891,0.0188868,0.0178051,0.0188053,0.0177208,0.0187252,0.0176379,0.0186462,0.0175564,0.0185684,0.0174761,0.0184915,0.017397,0.0184156,0.0173189,0.0183405,0.0172418,0.0182662
-0.104838,-0.104548,-0.104212,-0.103833,-0.103413,-0.102963,-0.102494,-0.102016,-0.101541,-0.101078,-0.100638,-0.100233,-0.0998792,-0.0996065,-0.0994786,-0.0996548,-0.100361,-0.101097,-0.101807,-0.102678,-0.103317,-0.104347,-0.103885,-0.104722,-0.10425,-0.105008,-0.10454,-0.105205,-0.104778,-0.105288,-0.105013,-0.105249,-0.105485,-0.105631,-0.105452,-0.105542,-0.105553,-0.105503,-0.105336,-0.105457,-0.105326,-0.105753,-0.105492,-0.105953,-0.105637,-0.106114,-0.105774,-0.106264,-0.10591,-0.106416,-0.106051,-0.106569,-0.106193,-0.106719,-0.106335,-0.106863,-0.10647,-0.106996,-0.106596,-0.107119,-0.106712,-0.10723,-0.106818,-0.107332,-0.106916,-0.107425,-0.107005,-0.107512,-0.107089,-0.107593,-0.107168,-0.10767,-0.107243,-0.107743,-0.107314,-0.107813,-0.107383,-0.10788,-0.10745,-0.107946,-0.107514,-0.108009,-0.107577,-0.10807,-0.107638,-0.10813,-0.107697,-0.108187,-0.107754,-0.108244,-0.10781,-0.108298,-0.107865,-0.108352,-0.107919,-0.108404,-0.107971,-0.108455,-0.108022,-0.108504,-0.108072
-0.0280762,-0.0280983,-0.0281259,-0.028159,-0.0281966,-0.0282374,-0.0282795,-0.0283208,-0.0283596,-0.0283943,-0.0284238,-0.0284472,-0.0284637,-0.028473,-0.0284747,-0.0284704,-0.0284695,-0.0284788,-0.0284997,-0.0285405,-0.0285752,-0.0286447,-0.0286155,-0.0286751,-0.0286455,-0.0286982,-0.0286694,-0.0287134,-0.0286874,-0.0287183,-0.0286998,-0.0287109,-0.0287198,-0.0287237,-0.0287211,-0.0287211,-0.0287239,-0.0287252,-0.0287364,-0.0287254,-0.028738,-0.0286973,-0.028732,-0.028677,-0.0287274,-0.0286617,-0.0287226,-0.0286473,-0.0287163,-0.0286311,-0.0287076,-0.0286127,-0.0286966,-0.0285926,-0.0286841,-0.028572,-0.0286711,-0.0285516,-0.0286583,-0.0285322,-0.0286464,-0.028514,-0.0286354,-0.0284971,-0.0286255,-0.0284813,-0.0286165,-0.0284664,-0.0286081,-0.0284522,-0.0286002,-0.0284385,-0.0285926,-0.0284252,-0.0285851,-0.028412,-0.0285777,-0.0283991,-0.0285702,-0.0283862,-0.0285627,-0.0283734,-0.0285551,-0.0283607,-0.0285474,-0.0283481,-0.0285396,-0.0283354,-0.0285317,-0.0283228,-0.0285237,-0.0283103,-0.0285156,-0.0282978,-0.0285074,-0.0282853,-0.0284992,-0.0282729,-0.0284909,-0.0282605,-0.0284825
0.188669,0.188588,0.188492,0.18838,0.188255,0.188119,0.187975,0.187828,0.18768,0.187536,0.187397,0.187268,0.187153,0.187061,0.18701,0.187053,0.187277,0.187533,0.187818,0.18824,0.18858,0.189258,0.188898,0.18951,0.189119,0.189697,0.189284,0.189796,0.189386,0.189749,0.189431,0.189495,0.189594,0.189563,0.189231,0.189132,0.188941,0.188636,0.188323,0.188204,0.187951,0.188259,0.187851,0.18822,0.187759,0.18817,0.187693,0.18814,0.187655,0.188138,0.187644,0.188157,0.187654,0.18819,0.187676,0.188227,0.187702,0.188262,0.187727,0.188292,0.187746,0.188314,0.18776,0.188329,0.187767,0.188337,0.187768,0.188341,0.187766,0.188341,0.18776,0.188338,0.187753,0.188333,0.187744,0.188327,0.187734,0.188321,0.187724,0.188314,0.187714,0.188308,0.187703,0.188301,0.187694,0.188294,0.187684,0.188288,0.187675,0.188281,0.187666,0.188275,0.187657,0.18827,0.187649,0.188264,0.187641,0.188259,0.187633,0.188254,0.187626
