0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-0.00344954,-0.00347849,-0.00351576,-0.00356137,-0.00361432,-0.00367262,-0.00373362,-0.00379458,-0.00385299,-0.00390682,-0.00395448,-0.00399473,-0.00402643,-0.00404809,-0.0040564,-0.00404189,-0.00398738,-0.00392182,-0.00384997,-0.00375336,-0.00367871,-0.00355936,-0.00362138,-0.00352732,-0.0035917,-0.00350716,-0.00357273,-0.00350068,-0.00356323,-0.00351393,-0.003559,-0.00354974,-0.00352726,-0.00352291,-0.00355319,-0.0035588,-0.00356014,-0.00357936,-0.00359764,-0.00360681,-0.00362092,-0.00360019,-0.00362798,-0.00360568,-0.00363872,-0.00361331,-0.00364897,-0.00362035,-0.00365833,-0.00362619,-0.0036669
0.0719739,0.0720097,0.0720404,0.0720627,0.072074,0.0720723,0.072057,0.0720287,0.0719891,0.0719403,0.0718851,0.0718267,0.0717697,0.0717217,0.0716984,0.0717395,0.0719112,0.0721067,0.0723217,0.0726278,0.0728798,0.0733489,0.0731228,0.0735448,0.0732989,0.0737009,0.0734422,0.0738075,0.0735551,0.0738381,0.073654,0.0737663,0.0738693,0.0739076,0.0737347,0.0737342,0.0736595,0.0735316,0.0733675,0.0733636,0.0732362,0.0734768,0.0732541,0.0735345,0.0732729,0.0735833,0.073303,0.0736414,0.0733475,0.0737149,0.0734069
-0.098704,-0.098849,-0.0990036,-0.0991675,-0.0993401,-0.0995202,-0.0997066,-0.0998981,-0.100093,-0.100289,-0.100484,-0.100672,-0.100847,-0.100994,-0.101083,-0.101042,-0.100765,-0.100463,-0.100157,-0.0997702,-0.0994651,-0.0990061,-0.0991634,-0.0987982,-0.0989616,-0.0986362,-0.0988022,-0.0985288,-0.0986854,-0.0985055,-0.098613,-0.0985971,-0.0985305,-0.0985349,-0.0986805,-0.0987485,-0.0988647,-0.0990149,-0.0992045,-0.0992514,-0.0994122,-0.099212,-0.0994668,-0.0992448,-0.0995387,-0.099302,-0.0996088,-0.0993555,-0.0996662,-0.0993916,-0.0997051
-0.217556,-0.217521,-0.217486,-0.217453,-0.217424,-0.217402,-0.21739,-0.21739,-0.217403,-0.217428,-0.217465,-0.21751,-0.217562,-0.217611,-0.217645,-0.217627,-0.2175,-0.217356,-0.217204,-0.217003,-0.216847,-0.216598,-0.216688,-0.216484,-0.216578,-0.216396,-0.216492,-0.216336,-0.21643,-0.216317,-0.216392,-0.216357,-0.216351,-0.216347,-0.216438,-0.216462,-0.216556,-0.216641,-0.21675,-0.21679,-0.216886,-0.216811,-0.216941,-0.21685,-0.21699,-0.216887,-0.217028,-0.216915,-0.217054,-0.21693,-0.217069
-0.0261473,-0.0261267,-0.0261103,-0.0260982,-0.0260902,-0.026085,-0.0260809,-0.0260759,-0.0260683,-0.0260569,-0.0260409,-0.0260207,-0.0259972,-0.0259736,-0.0259568,-0.0259638,-0.0260194,-0.026075,-0.0261275,-0.026193,-0.0262403,-0.0263204,-0.0262956,-0.0263611,-0.0263375,-0.0263936,-0.0263728,-0.0264173,-0.0264025,-0.0264302,-0.026428,-0.0264339,-0.0264577,-0.0264662,-0.0264855,-0.0264903,-0.0265101,-0.0265178,-0.0265313,-0.0265257,-0.0265377,-0.0265137,-0.0265481,-0.0265216,-0.0265696,-0.0265391,-0.0265947,-0.0265593,-0.0266196,-0.0265786,-0.0266426
0.0343221,0.0351366,0.0360577,0.0370832,0.0381999,0.0393854,0.0406118,0.0418505,0.0430742,0.0442574,0.0453735,0.0463908,0.0472631,0.0479078,0.0481473,0.0475423,0.0455021,0.0434314,0.0414579,0.0390589,0.0372745,0.0345033,0.0356854,0.0334739,0.0347026,0.0327349,0.0339873,0.0323312,0.0335309,0.0324187,0.0333218,0.0331678,0.0329953,0.0331374,0.0341683,0.0346116,0.0354241,0.0364629,0.0375256,0.038092,0.0389611,0.0383052,0.0396207,0.0388622,0.040325,0.0394991,0.0409839,0.0400927,0.0415628,0.0405953,0.0420499
0.0243227,0.0245671,0.0248565,0.0251931,0.0255752,0.0259976,0.0264521,0.0269291,0.0274181,0.0279083,0.0283872,0.0288389,0.0292394,0.0295463,0.0296694,0.0293869,0.0283894,0.0273544,0.0263321,0.0250325,0.0240098,0.0224121,0.0230398,0.0217331,0.0223881,0.0211943,0.0218579,0.0208141,0.0214283,0.0206632,0.0210401,0.0207997,0.0203186,0.0202344,0.0205387,0.0205975,0.020628,0.0209966,0.0213548,0.021385,0.0216662,0.0209634,0.0215476,0.0207452,0.0214539,0.0205916,0.0213514,0.0204384,0.0212251,0.0202599,0.0210682
-0.104838,-0.104548,-0.104212,-0.103833,-0.103413,-0.102963,-0.102494,-0.102016,-0.101541,-0.101078,-0.100638,-0.100233,-0.0998792,-0.0996065,-0.0994786,-0.0996548,-0.100361,-0.101097,-0.101807,-0.102678,-0.103317,-0.104347,-0.103885,-0.104722,-0.10425,-0.105008,-0.10454,-0.105205,-0.104778,-0.105288,-0.105013,-0.105249,-0.105485,-0.105631,-0.105452,-0.105542,-0.105553,-0.105503,-0.105336,-0.105457,-0.105326,-0.105753,-0.105492,-0.105953,-0.105637,-0.106114,-0.105774,-0.106264,-0.10591,-0.106416,-0.106051
-0.0280762,-0.0280983,-0.0281259,-0.028159,-0.0281966,-0.0282374,-0.0282795,-0.0283208,-0.0283596,-0.0283943,-0.0284238,-0.0284472,-0.0284637,-0.028473,-0.0284747,-0.0284704,-0.0284695,-0.0284788,-0.0284997,-0.0285405,-0.0285752,-0.0286447,-0.0286155,-0.0286751,-0.0286455,-0.0286982,-0.0286694,-0.0287134,-0.0286874,-0.0287183,-0.0286998,-0.0287109,-0.0287198,-0.0287237,-0.0287211,-0.0287211,-0.0287239,-0.0287252,-0.0287364,-0.0287254,-0.028738,-0.0286973,-0.028732,-0.028677,-0.0287274,-0.0286617,-0.0287226,-0.0286473,-0.0287163,-0.0286311,-0.0287076
0.188669,0.188588,0.188492,0.18838,0.188255,0.188119,0.187975,0.187828,0.18768,0.187536,0.187397,0.187268,0.187153,0.187061,0.18701,0.187053,0.187277,0.187533,0.187818,0.18824,0.18858,0.189258,0.188898,0.18951,0.189119,0.189697,0.189284,0.189796,0.189386,0.189749,0.189431,0.189495,0.189594,0.189563,0.189231,0.189132,0.188941,0.188636,0.188323,0.188204,0.187951,0.188259,0.187851,0.18822,0.187759,0.18817,0.187693,0.18814,0.187655,0.188138,0.187644
0.0324772,0.0324246,0.0323584,0.0322786,0.0321873,0.032088,0.0319849,0.0318824,0.0317842,0.0316935,0.0316121,0.0315417,0.0314831,0.0314372,0.0314064,0.0313984,0.0314293,0.0314602,0.0314833,0.0315172,0.0315175,0.0316089,0.0315096,0.0316045,0.0315031,0.0315958,0.0314912,0.0315792,0.0314708,0.0315472,0.0314368,0.031489,0.0314094,0.0314581,0.0313663,0.0314005,0.0313332,0.0313381,0.0312712,0.0312585,0.0311958,0.0312131,0.0311465,0.0311703,0.0311047,0.0311364,0.0310712,0.0311091,0.0310429,0.0310857,0.0310171
